page,hizbQuarter,surah,ayah,first_word,last_codepoint,glyph_name,advance,xMax,clearance
212,85,10,26,ﱁﱂ,0xfc42,uniFC42,4659,4419,240
214,86,10,53,ﳖﳗ,0xfcd7,uniFCD7,11576,11336,240
217,87,10,71,ﱁﱂ,0xfc42,uniFC42,3844,3604,240
219,88,10,90,ﱍﱎ,0xfc4e,uniFC4E,5996,5756,240
222,89,11,6,ﱁﱂ,0xfc42,uniFC42,3450,3210,240
224,90,11,24,ﱾﱿ,0xfc7f,uniFC7F,3534,3294,240
226,91,11,41,ﱽﱾ,0xfc7e,uniFC7E,4125,3885,240
228,92,11,61,ﲺﲻ,0xfcbb,uniFCBB,3683,3443,240
231,93,11,84,ﱘﱙ,0xfc59,uniFC59,3927,3687,240
233,94,11,108,ﳊﳋ,0xfccb,uniFCCB,3715,3475,240
236,95,12,7,ﱭﱮ,0xfc6e,uniFC6E,2590,2350,240
238,96,12,30,ﳈﳉ,0xfcc9,uniFCC9,5299,5059,240
242,97,12,53,ﱁﱂ,0xfc42,uniFC42,3058,2818,240
244,98,12,77,ﲫﲬ,0xfcac,uniFCAC,4982,4742,240
247,99,12,101,ﲭﲮ,0xfcae,uniFCAE,3512,3272,240
249,100,13,5,ﲫﲬ,0xfcac,uniFCAC,3164,2924,240
252,101,13,19,ﱁﱂ,0xfc42,uniFC42,3576,3336,240
254,102,13,35,ﱁﱂ,0xfc42,uniFC42,4041,3801,240
256,103,14,10,ﲟﲠ,0xfca0,uniFCA0,4046,3806,240
259,104,14,28,ﱲﱳ,0xfc73,uniFC73,2187,1947,240
262,105,15,1,ﱁﱂ,0xfc42,uniFC42,240,0,240
264,106,15,50,ﳊ,0xfcca,uniFCCA,5038,4798,240
267,107,16,1,ﱸ,0xfc78,uniFC78,2524,2284,240
270,108,16,30,ﱹﱺ,0xfc7a,uniFC7A,4488,4248,240
272,109,16,51,ﲮﲯ,0xfcaf,uniFCAF,4196,3956,240
275,110,16,75,ﱝﱞ,0xfc5e,uniFC5E,4866,4626,240
277,111,16,90,ﱪﱫ,0xfc6b,uniFC6B,3816,3576,240
280,112,16,111,ﱁﱂ,0xfc42,uniFC42,3271,3031,240
282,113,17,1,ﱁ,0xfc41,uniFC41,5998,5758,240
284,114,17,23,ﲆﲇ,0xfc87,uniFC87,4830,4590,240
287,115,17,50,ﱁﱂ,0xfc42,uniFC42,1671,1431,240
289,116,17,70,ﱽﱾ,0xfc7e,uniFC7E,4508,4268,240
292,117,17,99,ﱰﱱ,0xfc71,uniFC71,3279,3039,240
295,118,18,17,ﱕﱖ,0xfc56,uniFC56,5421,5181,240
297,119,18,32,ﲮﲯ,0xfcaf,uniFCAF,6351,6111,240
299,120,18,51,ﲩﲪ,0xfcaa,uniFCAA,1938,1698,240
302,121,18,75,ﱁﱂ,0xfc42,uniFC42,3253,3013,240
304,122,18,99,ﱓﱔ,0xfc54,uniFC54,4353,4113,240
306,123,19,22,ﲫﲬ,0xfcac,uniFCAC,7046,6806,240
309,124,19,59,ﲘﲙ,0xfc99,uniFC99,5603,5363,240
312,125,20,1,ﱥ,0xfc65,uniFC65,3165,2925,240
315,126,20,55,ﱭﱮ,0xfc6e,uniFC6E,4677,4437,240
317,127,20,83,ﲏﲐ,0xfc90,uniFC90,3048,2808,240
319,128,20,111,ﲺﲻ,0xfcbb,uniFCBB,5199,4959,240
322,129,21,1,ﱁ,0xfc41,uniFC41,5390,5150,240
324,130,21,29,ﱳﱴ,0xfc74,uniFC74,5100,4860,240
326,131,21,51,ﲌﲍ,0xfc8d,uniFC8D,4073,3833,240
329,132,21,83,ﱏﱐ,0xfc50,uniFC50,7421,7181,240
332,133,22,1,ﱁ,0xfc41,uniFC41,4404,4164,240
334,134,22,19,ﲏﲐ,0xfc90,uniFC90,5599,5359,240
336,135,22,38,ﳌﳍ,0xfccd,uniFCCD,2531,2291,240
339,136,22,60,ﱵﱶﱷ,0xfc77,uniFC77,2739,2499,240
342,137,23,1,ﱁ,0xfc41,uniFC41,2215,1975,240
344,138,23,36,ﲥﲦ,0xfca6,uniFCA6,6121,5881,240
347,139,23,75,ﱁﱂ,0xfc42,uniFC42,2836,2596,240
350,140,24,1,ﱁ,0xfc41,uniFC41,4134,3894,240
352,141,24,21,ﱁﱂ,0xfc42,uniFC42,4635,4395,240
354,142,24,35,ﲘﲙ,0xfc99,uniFC99,2820,2580,240
356,143,24,53,ﳓﳔ,0xfcd4,uniFCD4,6525,6285,240
359,144,25,1,ﲣ,0xfca3,uniFCA3,5006,4766,240
362,145,25,21,ﱁﱂ,0xfc42,uniFC42,4235,3995,240
364,146,25,53,ﲩﲪ,0xfcaa,uniFCAA,3711,3471,240
367,147,26,1,ﱁ,0xfc41,uniFC41,4363,4123,240
369,148,26,52,ﲲﲳ,0xfcb3,uniFCB3,5618,5378,240
371,149,26,111,ﳦﳧ,0xfce7,uniFCE7,3951,3711,240
374,150,26,181,ﳒﳓ,0xfcd3,uniFCD3,3596,3356,240
377,151,27,1,ﱁﱂ,0xfc42,uniFC42,240,0,240
379,152,27,27,ﱺﱻ,0xfc7b,uniFC7B,4099,3859,240
382,153,27,56,ﱁﱂ,0xfc42,uniFC42,3213,2973,240
384,154,27,82,ﱵﱶ,0xfc76,uniFC76,3438,3198,240
386,155,28,12,ﲩﲪ,0xfcaa,uniFCAA,6659,6419,240
389,156,28,29,ﱁﱂ,0xfc42,uniFC42,3820,3580,240
392,157,28,51,ﱁﱂ,0xfc42,uniFC42,4721,4481,240
394,158,28,76,ﲖﲗ,0xfc97,uniFC97,2602,2362,240
396,159,29,1,ﲑ,0xfc91,uniFC91,3701,3461,240
399,160,29,26,ﱴﱵ,0xfc75,uniFC75,7141,6901,240
402,161,29,46,ﱁﱂ,0xfc42,uniFC42,2837,2597,240
404,162,30,1,ﲛ,0xfc9b,uniFC9B,3569,3329,240
407,163,30,31,ﲽﲾ,0xfcbe,uniFCBE,6203,5963,240
410,164,30,54,ﱧﱨ,0xfc68,uniFC68,3179,2939,240
413,165,31,22,ﱸﱹ,0xfc79,uniFC79,3588,3348,240
415,166,32,11,ﳊﳋ,0xfccb,uniFCCB,2298,2058,240
418,167,33,1,ﱁ,0xfc41,uniFC41,4035,3795,240
420,168,33,18,ﱫﱬ,0xfc6c,uniFC6C,2071,1831,240
422,169,33,31,ﱁﱂ,0xfc42,uniFC42,3783,3543,240
425,170,33,51,ﱁﱂ,0xfc42,uniFC42,4314,4074,240
426,171,33,60,ﲥﲦ,0xfca6,uniFCA6,2672,2432,240
429,172,34,10,ﱳﱴ,0xfc74,uniFC74,4658,4418,240
431,173,34,24,ﱛﱜ,0xfc5c,uniFC5C,2182,1942,240
433,174,34,46,ﲰﲱ,0xfcb1,uniFCB1,2603,2363,240
436,175,35,15,ﲕﲖ,0xfc96,uniFC96,5047,4807,240
439,176,35,41,ﲀﲁ,0xfc81,uniFC81,2732,2492,240
